,Unnamed: 0,TEAM,GP,PPG,FGM-game,FGA-game,FGM-total,FGA-total,FG%,2PM,2PA,2P%,PPS,FG%.adj,team,games_played,assist,assist_per_game,turnover,turnover_per_game,assist/to
0,0,gonzaga,33,88.8,32.2,60.5,1062,1997,0.532,805,1293,0.623,1.47,0.596,Gonzaga,33,601,18.2,342,10.4,1.76
1,1,south dakota state,32,84.9,29.9,59.4,957,1901,0.503,639,1125,0.568,1.43,0.5870000000000001,South Dakota State,32,476,14.9,379,11.8,1.26
2,2,dayton,32,72.9,27.3,54.2,872,1734,0.503,672,1135,0.5920000000000001,1.35,0.561,Dayton,32,529,16.5,403,12.6,1.31
3,3,belmont,31,87.4,31.8,63.7,987,1976,0.499,662,1105,0.599,1.37,0.5820000000000001,Belmont,31,616,19.9,360,11.6,1.71
4,4,georgia southern,33,82.6,30.7,61.5,1012,2028,0.499,808,1396,0.579,1.34,0.5489999999999999,Georgia Southern,33,403,12.2,452,13.7,0.89
5,5,tennessee,33,82.3,30.0,60.2,991,1988,0.498,766,1359,0.564,1.37,0.555,Tennessee,33,609,18.5,363,11.0,1.68
6,6,montana,34,76.8,28.1,56.6,955,1923,0.49700000000000005,674,1184,0.569,1.36,0.57,Montana,34,500,14.7,408,12.0,1.23
7,7,murray state,31,83.3,30.3,61.0,938,1890,0.496,696,1195,0.5820000000000001,1.37,0.56,Murray State,31,561,18.1,374,12.1,1.5
8,8,yale,28,80.6,29.8,60.3,834,1687,0.494,617,1101,0.56,1.34,0.5589999999999999,Yale,28,484,17.3,375,13.4,1.29
9,9,loyola-chicago,33,65.8,24.4,49.5,805,1632,0.493,604,1083,0.5579999999999999,1.33,0.555,Loyola-Chicago,33,448,13.6,393,11.9,1.14
10,10,wofford,33,83.0,30.2,61.3,997,2022,0.493,633,1148,0.551,1.35,0.583,Wofford,33,507,15.4,359,10.9,1.41
11,11,liberty,34,74.0,27.1,55.2,921,1878,0.49,621,1061,0.585,1.34,0.57,Liberty,34,505,14.9,373,11.0,1.35
12,12,michigan state,33,79.2,27.9,57.2,922,1889,0.488,649,1177,0.551,1.38,0.56,Michigan State,33,630,19.1,428,13.0,1.47
13,13,gardner-webb,34,78.3,27.4,56.2,933,1912,0.488,661,1216,0.544,1.39,0.5589999999999999,Gardner-Webb,34,492,14.5,391,11.5,1.26
14,14,hofstra,34,83.6,28.6,58.5,971,1990,0.488,670,1216,0.551,1.43,0.564,Hofstra,34,476,14.0,333,9.8,1.43
15,15,east tennessee state,33,79.2,29.4,60.6,971,2001,0.485,710,1276,0.556,1.31,0.55,East Tennessee State,33,513,15.5,470,14.2,1.09
16,16,utah valley,33,77.2,26.6,54.9,879,1812,0.485,611,1115,0.5479999999999999,1.41,0.5589999999999999,Utah Valley,33,455,13.8,447,13.5,1.02
17,17,little rock,31,74.2,26.4,54.4,817,1687,0.484,611,1105,0.5529999999999999,1.36,0.545,Little Rock,31,443,14.3,504,16.3,0.88
18,18,charleston,33,74.3,26.6,55.1,878,1818,0.483,651,1151,0.5660000000000001,1.35,0.545,Charleston,33,387,11.7,347,10.5,1.12
19,19,lipscomb,32,83.4,29.1,60.2,930,1926,0.483,650,1171,0.555,1.39,0.556,Lipscomb,32,555,17.3,425,13.3,1.31
20,20,northeastern,33,76.1,26.2,54.3,864,1791,0.48200000000000004,542,961,0.564,1.4,0.5720000000000001,Northeastern,33,473,14.3,371,11.2,1.27
21,21,lehigh,31,80.0,27.6,57.3,856,1775,0.48200000000000004,569,1096,0.519,1.4,0.563,Lehigh,31,471,15.2,419,13.5,1.12
22,22,creighton,32,78.8,28.2,58.4,901,1870,0.48200000000000004,553,987,0.56,1.35,0.575,Creighton,32,512,16.0,420,13.1,1.22
23,23,northern kentucky,34,79.1,28.1,58.4,956,1986,0.48100000000000004,655,1163,0.563,1.35,0.557,Northern Kentucky,34,581,17.1,423,12.4,1.37
24,24,purdue fort wayne,33,82.7,30.0,62.4,991,2059,0.48100000000000004,631,1110,0.568,1.32,0.569,Purdue Fort Wayne,33,525,15.9,395,12.0,1.33
25,25,boston university,33,72.3,27.9,58.2,922,1922,0.48,701,1283,0.546,1.24,0.537,Boston University,33,447,13.5,425,12.9,1.05
26,26,colgate,34,75.8,27.4,57.0,930,1939,0.48,625,1153,0.542,1.33,0.5579999999999999,Colgate,34,531,15.6,443,13.0,1.2
27,27,kentucky,33,76.7,26.6,55.6,878,1835,0.478,679,1288,0.527,1.38,0.5329999999999999,Kentucky,33,457,13.8,417,12.6,1.1
28,28,virginia,32,71.8,25.6,53.6,820,1715,0.478,549,1052,0.522,1.34,0.557,Virginia,32,464,14.5,289,9.0,1.61
29,29,fairleigh dickinson,33,75.4,26.5,55.6,876,1834,0.478,622,1205,0.516,1.36,0.547,Fairleigh Dickinson,33,466,14.1,441,13.4,1.06
30,30,duke,34,83.5,30.5,63.9,1037,2173,0.47700000000000004,790,1355,0.583,1.31,0.534,Duke,34,541,15.9,446,13.1,1.21
31,31,iowa state,34,77.4,28.0,58.6,951,1994,0.47700000000000004,663,1205,0.55,1.32,0.5489999999999999,Iowa State,34,518,15.2,378,11.1,1.37
32,32,colorado state,32,74.8,27.1,56.8,866,1818,0.47600000000000003,607,1096,0.5539999999999999,1.32,0.5479999999999999,Colorado State,32,472,14.8,372,11.6,1.27
33,33,furman,32,77.9,28.3,59.4,904,1900,0.47600000000000003,574,992,0.579,1.31,0.563,Furman,32,510,15.9,401,12.5,1.27
34,34,weber state,33,79.3,27.9,58.6,920,1934,0.47600000000000003,671,1250,0.537,1.35,0.54,Weber State,33,383,11.6,386,11.7,0.99
35,35,virginia tech,32,74.0,25.8,54.2,824,1733,0.475,517,954,0.542,1.37,0.564,Virginia Tech,32,491,15.3,364,11.4,1.35
36,36,omaha,32,78.8,29.7,62.4,950,1998,0.475,668,1279,0.522,1.26,0.546,Omaha,32,409,12.8,304,9.5,1.35
37,37,william & mary,31,74.9,27.1,57.2,841,1773,0.474,587,1038,0.5660000000000001,1.31,0.546,William & Mary,31,529,17.1,391,12.6,1.35
38,38,american,30,72.0,26.0,54.8,780,1645,0.474,590,1061,0.556,1.31,0.532,American,30,402,13.4,386,12.9,1.04
39,39,abilene christian,33,74.5,26.7,56.3,880,1858,0.474,634,1221,0.519,1.32,0.54,Abilene Christian,33,516,15.6,397,12.0,1.3
40,40,utah state,34,79.2,27.6,58.4,940,1985,0.474,673,1233,0.546,1.36,0.541,Utah State,34,585,17.2,426,12.5,1.37
41,41,saint mary's,33,72.9,26.5,56.1,876,1850,0.474,631,1202,0.525,1.3,0.54,Saint Mary's,33,332,10.1,349,10.6,0.95
42,42,umass lowell,32,76.8,27.3,57.9,875,1852,0.47200000000000003,629,1131,0.556,1.33,0.539,UMass Lowell,32,500,15.6,446,13.9,1.12
43,43,austin peay,33,82.2,29.5,62.4,973,2060,0.47200000000000003,705,1358,0.519,1.32,0.537,Austin Peay,33,454,13.8,392,11.9,1.16
44,44,samford,33,78.3,27.9,59.1,921,1951,0.47200000000000003,667,1264,0.528,1.32,0.537,Samford,33,461,14.0,463,14.0,1.0
45,45,mississippi state,33,77.3,27.6,58.5,911,1930,0.47200000000000003,627,1178,0.532,1.32,0.546,Mississippi State,33,474,14.4,439,13.3,1.08
46,46,richmond,33,70.1,25.7,54.5,849,1800,0.47200000000000003,598,1077,0.555,1.29,0.541,Richmond,33,519,15.7,336,10.2,1.54
47,47,texas tech,32,73.1,26.2,55.5,837,1775,0.47200000000000003,605,1144,0.529,1.32,0.537,Texas Tech,32,449,14.0,396,12.4,1.13
48,48,northern illinois,34,73.7,27.6,58.7,940,1995,0.47100000000000003,711,1353,0.525,1.26,0.529,Northern Illinois,34,374,11.0,403,11.9,0.93
49,49,drake,33,75.5,26.7,56.6,880,1868,0.47100000000000003,607,1118,0.5429999999999999,1.33,0.544,Drake,33,508,15.4,436,13.2,1.17
50,50,ball state,33,75.1,26.9,57.3,889,1892,0.47,687,1271,0.541,1.31,0.523,Ball State,33,426,12.9,480,14.5,0.89
51,51,boise state,33,71.6,25.6,54.6,845,1801,0.469,593,1086,0.546,1.31,0.539,Boise State,33,398,12.1,378,11.5,1.05
52,52,xavier,33,71.9,26.1,55.8,862,1843,0.46799999999999997,631,1149,0.5489999999999999,1.29,0.53,Xavier,33,488,14.8,443,13.4,1.1
53,53,byu,32,79.0,27.4,58.7,878,1878,0.46799999999999997,652,1194,0.546,1.35,0.528,BYU,32,482,15.1,355,11.1,1.36
54,54,southern miss,32,72.7,27.4,58.6,877,1876,0.467,612,1193,0.513,1.24,0.5379999999999999,Southern Miss,32,540,16.9,338,10.6,1.6
55,55,san francisco,31,76.1,27.9,59.7,864,1851,0.467,606,1124,0.539,1.27,0.536,San Francisco,31,439,14.2,321,10.4,1.37
56,56,depaul,30,76.9,27.6,59.1,827,1772,0.467,624,1183,0.527,1.3,0.524,DePaul,30,438,14.6,413,13.8,1.06
57,57,southern illinois,32,68.6,25.1,53.8,802,1720,0.466,589,1150,0.512,1.28,0.528,Southern Illinois,32,438,13.7,447,14.0,0.98
58,58,incarnate word,31,65.9,22.9,49.3,711,1527,0.466,537,1019,0.527,1.34,0.523,Incarnate Word,31,354,11.4,502,16.2,0.71
59,59,georgia state,32,77.2,27.0,58.1,865,1858,0.466,549,1044,0.526,1.33,0.551,Georgia State,32,402,12.6,374,11.7,1.07
60,60,nevada,33,80.7,27.4,58.9,905,1944,0.466,613,1113,0.551,1.37,0.541,Nevada,33,494,15.0,338,10.2,1.46
61,61,oakland,33,76.7,26.2,56.3,863,1858,0.46399999999999997,549,1042,0.527,1.36,0.5489999999999999,Oakland,33,580,17.6,425,12.9,1.36
62,62,north dakota,30,74.0,27.4,59.0,822,1771,0.46399999999999997,581,1124,0.517,1.25,0.532,North Dakota,30,398,13.3,380,12.7,1.05
63,63,utah,31,75.6,26.0,56.0,805,1735,0.46399999999999997,507,929,0.546,1.35,0.55,Utah,31,440,14.2,405,13.1,1.09
64,64,north carolina,33,86.1,31.0,66.9,1023,2207,0.46399999999999997,734,1416,0.518,1.29,0.529,North Carolina,33,628,19.0,430,13.0,1.46
65,65,ucf,31,72.1,24.7,53.3,765,1652,0.46299999999999997,554,1056,0.525,1.35,0.527,UCF,31,411,13.3,366,11.8,1.12
66,66,oregon state,31,73.4,25.8,55.7,800,1728,0.46299999999999997,597,1095,0.545,1.32,0.522,Oregon State,31,465,15.0,384,12.4,1.21
67,67,buffalo,34,84.9,30.4,65.7,1033,2234,0.462,708,1265,0.56,1.29,0.535,Buffalo,34,573,16.9,399,11.7,1.44
68,68,holy cross,33,67.2,25.7,55.6,848,1834,0.462,611,1164,0.525,1.21,0.527,Holy Cross,33,511,15.5,350,10.6,1.46
69,69,csu northridge,33,76.3,28.4,61.4,936,2025,0.462,709,1405,0.505,1.24,0.518,CSU Northridge,33,491,14.9,403,12.2,1.22
70,70,northern colorado,32,76.6,26.5,57.4,849,1837,0.462,542,988,0.5489999999999999,1.33,0.546,Northern Colorado,32,422,13.2,397,12.4,1.06
71,71,kansas,34,75.4,27.3,59.1,928,2008,0.462,682,1306,0.522,1.28,0.523,Kansas,34,453,13.3,455,13.4,1.0
72,72,jacksonville state,33,78.0,28.9,62.5,953,2063,0.462,753,1429,0.527,1.25,0.51,Jacksonville State,33,451,13.7,440,13.3,1.03
73,73,lsu,32,81.4,28.5,61.7,912,1975,0.462,693,1297,0.534,1.32,0.517,LSU,32,420,13.1,423,13.2,0.99
74,74,radford,33,73.9,27.1,58.7,893,1938,0.461,608,1187,0.512,1.26,0.534,Radford,33,467,14.2,358,10.8,1.3
75,75,south alabama,34,72.9,25.5,55.4,867,1883,0.46,582,1122,0.519,1.32,0.536,South Alabama,34,471,13.9,456,13.4,1.03
76,76,drexel,32,75.8,27.3,59.4,874,1900,0.46,637,1231,0.517,1.28,0.522,Drexel,32,464,14.5,375,11.7,1.24
77,77,usc,33,76.3,28.4,61.8,937,2039,0.46,656,1304,0.503,1.23,0.528,USC,33,536,16.2,392,11.9,1.37
78,78,sacred heart,32,79.9,27.7,60.2,885,1926,0.46,642,1245,0.516,1.33,0.523,Sacred Heart,32,471,14.7,465,14.5,1.01
79,79,uic,32,74.7,27.0,58.8,865,1883,0.45899999999999996,562,1027,0.547,1.27,0.54,UIC,32,478,14.9,456,14.3,1.05
80,80,ole miss,32,75.4,26.5,57.6,847,1844,0.45899999999999996,586,1115,0.526,1.31,0.53,Ole Miss,32,459,14.3,405,12.7,1.13
81,81,san diego,35,72.3,25.5,55.5,892,1942,0.45899999999999996,618,1158,0.534,1.3,0.53,San Diego,35,503,14.4,443,12.7,1.14
82,82,uc irvine,35,72.9,27.0,58.8,945,2058,0.45899999999999996,707,1398,0.506,1.24,0.517,UC Irvine,35,463,13.2,411,11.7,1.13
83,83,indiana,32,71.5,26.2,57.0,838,1825,0.45899999999999996,645,1210,0.5329999999999999,1.25,0.512,Indiana,32,426,13.3,404,12.6,1.05
84,84,north carolina a&t,32,70.0,25.8,56.2,825,1797,0.45899999999999996,598,1148,0.521,1.25,0.522,North Carolina A&T,32,452,14.1,418,13.1,1.08
85,85,new mexico state,34,78.1,27.6,60.0,937,2041,0.45899999999999996,618,1089,0.5670000000000001,1.3,0.537,New Mexico State,34,500,14.7,403,11.9,1.24
86,86,delaware,33,71.3,25.2,54.8,830,1808,0.45899999999999996,548,1062,0.516,1.3,0.537,Delaware,33,425,12.9,378,11.5,1.12
87,87,loyola (md),32,72.9,26.3,57.4,842,1836,0.45899999999999996,632,1220,0.518,1.27,0.516,Loyola (MD),32,448,14.0,444,13.9,1.01
88,88,marquette,33,77.7,26.3,57.4,869,1895,0.45899999999999996,558,1104,0.505,1.35,0.541,Marquette,33,450,13.6,458,13.9,0.98
89,89,vermont,33,73.9,25.5,55.6,841,1834,0.45899999999999996,584,1105,0.529,1.33,0.529,Vermont,33,390,11.8,361,10.9,1.08
90,90,tcu,33,74.1,26.8,58.7,886,1936,0.45799999999999996,632,1214,0.521,1.26,0.523,TCU,33,535,16.2,454,13.8,1.18
91,91,nc state,33,79.6,29.2,63.8,964,2107,0.45799999999999996,695,1346,0.516,1.25,0.521,NC State,33,501,15.2,419,12.7,1.2
92,92,harvard,28,71.0,25.2,55.0,705,1541,0.457,465,894,0.52,1.29,0.535,Harvard,28,341,12.2,449,16.0,0.76
93,93,loyola marymount,31,67.5,24.0,52.5,744,1627,0.457,598,1167,0.512,1.29,0.502,Loyola Marymount,31,413,13.3,395,12.7,1.05
94,94,ucla,33,78.2,27.8,61.0,919,2012,0.457,663,1291,0.514,1.28,0.52,UCLA,33,472,14.3,466,14.1,1.01
95,95,csu fullerton,33,72.1,25.8,56.4,850,1861,0.457,668,1291,0.517,1.28,0.506,CSU Fullerton,33,397,12.0,437,13.2,0.91
96,96,colorado,33,73.9,25.8,56.5,852,1866,0.457,640,1212,0.528,1.31,0.513,Colorado,33,442,13.4,443,13.4,1.0
97,97,unc greensboro,34,76.0,27.6,60.6,940,2059,0.457,677,1296,0.522,1.26,0.52,UNC Greensboro,34,436,12.8,401,11.8,1.09
98,98,lamar,33,78.7,27.3,59.9,902,1976,0.456,674,1312,0.514,1.31,0.514,Lamar,33,481,14.6,473,14.3,1.02
99,99,houston baptist,30,82.2,28.8,63.2,865,1896,0.456,665,1308,0.508,1.3,0.509,Houston Baptist,30,449,15.0,442,14.7,1.02
100,100,north dakota state,33,73.2,25.1,55.0,828,1816,0.456,513,955,0.537,1.33,0.5429999999999999,North Dakota State,33,383,11.6,349,10.6,1.1
101,101,montana state,32,78.2,26.8,58.8,858,1882,0.456,552,1064,0.519,1.33,0.537,Montana State,32,491,15.3,394,12.3,1.25
102,102,campbell,32,75.8,26.3,57.6,840,1843,0.456,533,951,0.56,1.32,0.539,Campbell,32,469,14.7,325,10.2,1.44
103,103,north carolina central,33,71.4,25.8,56.5,850,1865,0.456,638,1193,0.535,1.26,0.513,North Carolina Central,33,509,15.4,506,15.3,1.01
104,104,oral roberts,32,72.3,26.7,58.6,854,1874,0.456,588,1140,0.516,1.23,0.527,Oral Roberts,32,434,13.6,446,13.9,0.97
105,105,winthrop,30,83.3,28.5,62.6,855,1878,0.455,483,881,0.5479999999999999,1.33,0.5539999999999999,Winthrop,30,460,15.3,456,15.2,1.01
106,106,jacksonville,32,74.5,27.8,61.0,889,1953,0.455,676,1308,0.517,1.22,0.51,Jacksonville,32,457,14.3,462,14.4,0.99
107,107,hartford,33,75.1,25.7,56.5,848,1863,0.455,526,1017,0.517,1.33,0.542,Hartford,33,462,14.0,401,12.2,1.15
108,108,iowa,33,78.3,26.1,57.4,862,1894,0.455,595,1155,0.515,1.36,0.526,Iowa,33,519,15.7,399,12.1,1.3
109,109,toledo,32,77.3,27.4,60.4,878,1933,0.45399999999999996,562,1102,0.51,1.28,0.536,Toledo,32,526,16.4,394,12.3,1.34
110,110,maryland,32,71.3,25.2,55.5,807,1777,0.45399999999999996,575,1120,0.513,1.28,0.519,Maryland,32,423,13.2,420,13.1,1.01
111,111,western carolina,32,72.0,24.8,54.5,792,1744,0.45399999999999996,496,944,0.525,1.32,0.539,Western Carolina,32,389,12.2,576,18.0,0.68
112,112,appalachian state,32,79.9,27.5,60.6,880,1938,0.45399999999999996,588,1124,0.523,1.32,0.529,Appalachian State,32,406,12.7,418,13.1,0.97
113,113,st. john's,33,77.5,27.9,61.5,922,2031,0.45399999999999996,641,1253,0.512,1.26,0.523,St. John's,33,463,14.0,341,10.3,1.36
114,114,fresno state,32,76.5,26.5,58.3,847,1866,0.45399999999999996,505,969,0.521,1.31,0.546,Fresno State,32,457,14.3,400,12.5,1.14
115,115,central michigan,34,82.6,28.2,62.1,959,2113,0.45399999999999996,665,1320,0.504,1.33,0.523,Central Michigan,34,448,13.2,412,12.1,1.09
116,116,grand canyon,33,75.7,26.7,58.9,882,1944,0.45399999999999996,634,1196,0.53,1.28,0.518,Grand Canyon,33,466,14.1,397,12.0,1.17
117,117,pennsylvania,31,72.6,26.5,58.4,821,1810,0.45399999999999996,539,1007,0.535,1.24,0.531,Pennsylvania,31,465,15.0,394,12.7,1.18
118,118,uab,34,70.4,25.9,57.0,879,1938,0.45399999999999996,652,1263,0.516,1.23,0.512,UAB,34,395,11.6,388,11.4,1.02
